sample_size,mean,std,min,median,max
50,0.25101534408874904,0.07765417054098445,0.1267605633802817,0.2338062924120913,0.6129032258064516
100,0.39665010975337545,0.06715356319019364,0.28949065119277884,0.3831258644536653,0.6722408026755853
200,0.5450372478039669,0.05037497724597441,0.41843971631205673,0.5384615384615384,0.7559262510974539
300,0.6658620750700928,0.03037868188681291,0.5661707126076743,0.6638935108153078,0.7574692442882249
405,0.7693417856261606,0.020565796049202216,0.6835016835016835,0.7699115044247787,0.8281535648994516
