Metric,Mean,Standard deviation,Minimum,Median,Maximum,2.5th percentile,97.5th percentile
AUROC,0.9816666666666669,0.01421250650261428,0.9432692307692307,0.9855769230769231,0.9990384615384615,0.9495432692307691,0.9983413461538462
AUPRC,0.9952802091427244,0.004139753310754185,0.98435737325905,0.9967892557088576,0.9997668997668998,0.9849101579761096,0.9995953021337637
balanced_accuracy,0.9370352564102564,0.03539712869912118,0.8677884615384616,0.9495192307692308,0.9923076923076923,0.8733653846153846,0.9867307692307693
sensitivity,0.9594871794871795,0.02079165047260457,0.9076923076923077,0.9615384615384616,1.0,0.9188461538461539,0.9888461538461538
specificity,0.9145833333333333,0.06862907337742276,0.8125,0.9375,1.0,0.8125,1.0
brier_score,0.04223276937499987,0.016016973390496514,0.012884391320170914,0.040927074407731495,0.07361325834484046,0.0141430960829158,0.07256119992159661
