sample_size,frequently_selected_genes,directionally_stable_genes,mean_direction_consistency,median_direction_consistency,proportion_directionally_stable,percent_directionally_stable
50,518,196,0.813660713232421,0.8492424242424242,0.3783783783783784,37.83783783783784
100,765,200,0.7716705028674609,0.78,0.26143790849673204,26.143790849673206
200,881,257,0.7747814143450193,0.7777777777777778,0.2917139614074915,29.171396140749152
300,937,386,0.8177470077169537,0.84,0.4119530416221985,41.19530416221985
405,965,542,0.865290242190714,0.9318181818181818,0.5616580310880829,56.16580310880829
