sample_size,mean,std,min,median,max
50,0.2525050986877477,0.0788879872860399,0.09170305676855896,0.23685837971552257,0.6051364365971108
100,0.41687704179613627,0.06330901276379458,0.29701686121919585,0.4044943820224719,0.6542597187758478
200,0.5626534938936513,0.04873523100633355,0.4378145219266715,0.556420233463035,0.7436791630340017
300,0.6702978211122539,0.02892813557189805,0.5873015873015873,0.6680567139282736,0.76522506619594
397,0.7712097659370407,0.019556139276384974,0.7050298380221653,0.7714791851195748,0.8315018315018315
