Metric,Mean,Standard deviation,Minimum,Median,Maximum,2.5th percentile,97.5th percentile
AUROC,0.9864612511671336,0.012669568549677405,0.9551820728291316,0.9887955182072828,1.0,0.9565359477124182,1.0
AUPRC,0.9960236119824792,0.004406927207000703,0.9813336382219582,0.9970511147506949,1.0,0.98405527736004,1.0
balanced_accuracy,0.9432461873638343,0.03636658646028226,0.8585434173669467,0.9479458450046685,1.0,0.8626050420168068,0.9942460317460318
sensitivity,0.962962962962963,0.022958077532933583,0.9047619047619048,0.9682539682539683,1.0,0.9162698412698412,1.0
specificity,0.9235294117647059,0.0676007425885283,0.7647058823529411,0.9411764705882353,1.0,0.7647058823529411,1.0
brier_score,0.03583117256557551,0.018335004657568106,0.005687858490861305,0.03632335457536433,0.08516954669810414,0.006286811783951031,0.06671336188565571
