sample_size,gene_count,mean,standard_deviation,minimum,q25,median,q75,maximum
50,547,0.8325944922549467,0.14924624399839947,0.5,0.709005376344086,0.88,0.9642857142857143,1.0
100,793,0.7927915881176656,0.161201816922474,0.5,0.6451612903225806,0.82,0.9444444444444444,1.0
200,892,0.8080434143344256,0.15513610025131233,0.5,0.68,0.8289198606271777,0.9560283687943263,1.0
300,943,0.8375264105149491,0.15699547773663386,0.5,0.7126984126984127,0.8888888888888888,0.98,1.0
397,969,0.8848161540560122,0.1436069463280613,0.5,0.8085106382978723,0.96,1.0,1.0
