,AUROC,AUROC,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,AUPRC,AUPRC,balanced_accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy,sensitivity,sensitivity,sensitivity,sensitivity,sensitivity,specificity,specificity,specificity,specificity,specificity,brier_score,brier_score,brier_score,brier_score,brier_score
,mean,std,min,median,max,mean,std,min,median,max,mean,std,min,median,max,mean,std,min,median,max,mean,std,min,median,max,mean,std,min,median,max
development_sample_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.8697,0.1778,0.5283,0.9493,0.9677,0.9805,0.0311,0.9209,0.9947,0.9968,0.8331,0.1114,0.62,0.8799,0.936,0.904,0.0611,0.7832,0.923,0.9661,0.7622,0.2513,0.2739,0.8402,0.9751,0.0891,0.0372,0.0514,0.0745,0.1606
100,0.959,0.0081,0.9396,0.963,0.9657,0.9958,0.001,0.9936,0.9964,0.9966,0.8921,0.0261,0.8544,0.8999,0.9234,0.8924,0.0665,0.7599,0.9064,0.9661,0.8917,0.0802,0.7427,0.9191,0.9668,0.0886,0.044,0.0453,0.0751,0.1812
200,0.9649,0.0028,0.9589,0.965,0.9682,0.9965,0.0004,0.9958,0.9965,0.9971,0.9171,0.0137,0.8941,0.9211,0.9318,0.9192,0.0391,0.8256,0.9257,0.9597,0.9149,0.0413,0.834,0.9212,0.9627,0.0692,0.0266,0.0444,0.0661,0.1349
300,0.9675,0.0008,0.966,0.9674,0.9685,0.9969,0.0001,0.9967,0.9969,0.997,0.9311,0.0038,0.9247,0.9305,0.9392,0.9269,0.0201,0.8909,0.9304,0.946,0.9353,0.0174,0.9129,0.9378,0.9585,0.0628,0.0137,0.0485,0.0608,0.087
397,0.9699,,0.9699,0.9699,0.9699,0.9971,,0.9971,0.9971,0.9971,0.939,,0.939,0.939,0.939,0.9403,,0.9403,0.9403,0.9403,0.9378,,0.9378,0.9378,0.9378,0.0539,,0.0539,0.0539,0.0539
