sample_size,frequently_selected_genes,directionally_stable_genes,percentage_directionally_stable
50,547,242,44.24131627056673
100,793,269,33.921815889029006
200,892,337,37.780269058295964
300,943,460,48.78048780487805
397,969,601,62.02270381836945
