metric,estimate,bootstrap_mean,lower_95_ci,upper_95_ci
AUROC,0.9698745223527204,0.9700559755725907,0.9597441510185902,0.978770300009377
AUPRC,0.9971293871472462,0.9971544446132933,0.9959254425410958,0.9981201116709427
balanced_accuracy,0.9390420974283236,0.9391040296727383,0.9229291939189347,0.9533883653327707
sensitivity,0.9403248587570622,0.9403117937853107,0.9314883474576272,0.9488082627118644
specificity,0.9377593360995851,0.937896265560166,0.9087136929460581,0.966804979253112
brier_score,0.05394292854488723,0.05393089741863012,0.04696044726124062,0.06081956336943927
