metric,estimate,bootstrap_mean,bootstrap_standard_deviation,lower_95_ci,upper_95_ci,number_of_bootstraps
AUROC,0.9671712731790796,0.967347133823288,0.0059051643087608624,0.9544664782450711,0.9778561768877324,1000
AUPRC,0.9965697567155143,0.9965982740456664,0.0008137608787534864,0.9948023939743673,0.9979681387960332,1000
balanced_accuracy,0.9340539067444968,0.9341093951461659,0.008810389128698408,0.916572529127693,0.9495931939658204,1000
sensitivity,0.9427966101694916,0.9427623587570622,0.004429280005821345,0.9339689265536724,0.9516331214689265,1000
specificity,0.9253112033195021,0.9254564315352699,0.0169782661954235,0.8921161825726142,0.9543568464730291,1000
brier_score,0.050983641312384045,0.05101574591204439,0.0034926877483423186,0.044337730429789356,0.05768495029102959,1000
