development_sample_size,AUPRC_mean,AUROC_mean,balanced_accuracy_mean,brier_score_mean,sensitivity_mean,specificity_mean,AUPRC_standard_deviation,AUROC_standard_deviation,balanced_accuracy_standard_deviation,brier_score_standard_deviation,sensitivity_standard_deviation,specificity_standard_deviation,AUPRC_minimum,AUROC_minimum,balanced_accuracy_minimum,brier_score_minimum,sensitivity_minimum,specificity_minimum,AUPRC_median,AUROC_median,balanced_accuracy_median,brier_score_median,sensitivity_median,specificity_median,AUPRC_maximum,AUROC_maximum,balanced_accuracy_maximum,brier_score_maximum,sensitivity_maximum,specificity_maximum
50,0.9805002846596971,0.8562397437700728,0.8230818505755211,0.20391981589293917,0.7637570621468925,0.8824066390041494,0.023325305003411186,0.1577456092815347,0.10766878195228002,0.19144179805394293,0.21226613542504918,0.1496821586265569,0.922121539553924,0.5383978596713318,0.6045798462151581,0.04759908893926475,0.2701271186440678,0.34024896265560167,0.9947819345865629,0.949269756429191,0.8695418542091568,0.11609322364370629,0.8677612994350283,0.9273858921161826,0.9968770953435097,0.9683653913777339,0.9279199486602434,0.6455840719312318,0.955861581920904,0.991701244813278
100,0.9934557597320997,0.9433412599338914,0.8892634708254215,0.10983046078698516,0.8653319209039548,0.9131950207468879,0.01216231651813097,0.07897975624074509,0.05937548310289338,0.08530359619840627,0.10432724009039451,0.10302182191172103,0.9208888779699163,0.5295035105609864,0.6193627364793586,0.04878013785412665,0.3453389830508475,0.2821576763485477,0.996110730626337,0.9621281384063578,0.907392837049019,0.08343092736012671,0.899364406779661,0.9356846473029046,0.9969670665379274,0.9691976111775322,0.9412054293550882,0.5915177293768646,0.9590395480225988,0.9875518672199171
200,0.9961545711443648,0.9628067784888763,0.9202217396910237,0.07019737610929676,0.9167090395480227,0.9237344398340248,0.0010351586592313542,0.00660263375361214,0.011961904170677615,0.017134394501747703,0.025382423336342667,0.028141074617849978,0.9909937736705026,0.9326605246501158,0.882054821014136,0.04746820078602035,0.8545197740112994,0.8340248962655602,0.9964114766111463,0.9644394530792133,0.9216284841878237,0.06551277689506915,0.9242584745762712,0.9253112033195021,0.9972988113259575,0.9702085824132028,0.9385131689992264,0.11197505305486348,0.9523305084745762,0.9585062240663901
300,0.99645616005211,0.9653423236514523,0.9272578504114213,0.0668640924931582,0.920656779661017,0.9338589211618258,0.0004236263410730496,0.002573545100703693,0.007903909012634816,0.013310602366273233,0.020270700346875895,0.02141214717609143,0.9951741972400266,0.9581970719928734,0.9075715884848912,0.04438436193351457,0.8580508474576272,0.8755186721991701,0.9965186624272449,0.9656606770283893,0.9289342165412476,0.0636472937528213,0.9231991525423728,0.941908713692946,0.9970442442478914,0.9705836673933939,0.9423087066601027,0.10832690539118729,0.9551553672316384,0.9626556016597511
405,0.9965697567155143,0.9671712731790796,0.9340539067444968,0.050983641312384045,0.9427966101694916,0.9253112033195021,0.0,0.0,0.0,0.0,0.0,0.0,0.9965697567155143,0.9671712731790796,0.9340539067444968,0.050983641312384045,0.9427966101694916,0.9253112033195021,0.9965697567155143,0.9671712731790796,0.9340539067444968,0.050983641312384045,0.9427966101694916,0.9253112033195021,0.9965697567155143,0.9671712731790796,0.9340539067444968,0.050983641312384045,0.9427966101694916,0.9253112033195021
