metric,saved_value,clean_environment_value,absolute_difference,values_match
AUROC,0.9671712731790796,0.9671712731790796,0.0,True
AUPRC,0.9965697567155144,0.9965697567155143,1.1102230246251565e-16,True
balanced_accuracy,0.9340539067444968,0.9340539067444968,0.0,True
sensitivity,0.9427966101694916,0.9427966101694916,0.0,True
specificity,0.925311203319502,0.9253112033195021,1.1102230246251565e-16,True
brier_score,0.050983641312384,0.050983641312384045,4.85722573273506e-17,True
